,search_id,num_planet,disposition,ror,stellar_mass,ss_gravity,period,duration,transit_epoch
0,KIC 10797460,1,1,0.022344,0.919,4.467,9.48803557,2.9575,2455003.53875
1,KIC 10797460,2,1,0.027954,0.919,4.467,54.4183827,4.507,2454995.51384
2,KIC 10811496,1,2,0.154046,0.961,4.544,19.89913995,1.7822,2455008.850252
3,KIC 10848459,1,0,0.387394,0.836,4.564,1.736952453,2.40641,2455003.307565
4,KIC 10854555,1,1,0.024064,1.095,4.438,2.525591777,1.6545,2455004.59555
5,KIC 10872983,1,1,0.036779,1.053,4.486,11.09432054,4.5945,2455004.20116
6,KIC 10872983,2,1,0.026133,1.053,4.486,4.13443512,3.1402,2455005.97937
7,KIC 10872983,3,1,0.014983,1.053,4.486,2.56658897,2.429,2455012.55437
8,KIC 6721123,1,0,0.183387,1.358,3.986,7.36178958,5.022,2454965.25053
9,KIC 10910878,1,1,0.062161,0.801,4.485,16.06864674,3.5347,2455006.621937
10,KIC 11446443,1,1,0.123871,0.971,4.457,2.470613377,1.74319,2454955.763305
11,KIC 10666592,1,1,0.075522,1.449,4.019,2.204735417,3.88864,2454954.3585417
12,KIC 6922244,1,1,0.092086,1.132,4.169,3.522498429,3.19843,2454954.1194228
13,KIC 10984090,2,1,0.010424,0.974,4.407,3.709214104,2.6302,2454966.98318
14,KIC 10419211,1,0,1.625358,0.938,4.554,11.521446064,3.6399,2455003.839688
15,KIC 10464078,1,0,0.096729,0.657,4.591,19.40393776,12.2155,2455005.484253
16,KIC 10480982,1,0,0.476633,1.025,4.496,19.221388942,4.79843,2455017.5521637
17,KIC 10485250,1,0,0.092509,0.741,4.517,16.46983774,9.4378,2455013.881761
18,KIC 10526549,1,1,0.032563,0.676,4.583,9.27358173,3.2875,2455006.258155
19,KIC 10583066,1,1,0.038838,0.761,4.648,6.02930329,1.5821,2455004.602959
20,KIC 10583180,1,0,0.017673,0.781,4.504,2.696370652,3.6129,2455003.73769
21,KIC 10601284,1,1,0.025706,0.831,4.44,5.349553819,3.0278,2455004.80694
22,KIC 10601284,2,1,0.017105,0.831,4.44,3.94105221,2.5984,2454969.08662
23,KIC 10601284,3,1,0.013127,0.831,4.44,8.10904807,3.596,2454965.8031
24,KIC 2306756,1,0,0.240528,1.103,4.081,386.6030528,6.8057,2454999.342079
25,KIC 10662202,1,1,0.032666,0.791,4.5,21.67699193,3.4555,2455004.53594
26,KIC 10682541,1,1,0.030014,0.931,4.552,4.99677968,2.1717,2455004.74208
27,KIC 11460018,1,1,0.025377,0.928,4.564,4.280963604,2.875,2455004.89659
28,KIC 11463211,1,0,0.049899,0.926,4.563,1.50635409,1.5155,2455003.998064
29,KIC 11465813,1,0,0.131705,1.03,4.466,670.645531,53.412,2455042.04355
30,KIC 11493732,1,0,0.334628,1.093,4.402,61.2563628,7.633,2455006.83826
31,KIC 11507101,1,1,0.024901,0.915,4.369,38.3775486,5.588,2455005.82048
32,KIC 10910878,2,1,0.041693,0.801,4.485,41.19725502,4.6297,2454998.00404
33,KIC 10910878,3,1,0.028604,0.801,4.485,6.252962249,2.5819,2455004.30126
34,KIC 10987985,1,1,0.034369,0.785,4.499,16.01308419,3.2554,2455009.3608
35,KIC 11018648,1,1,0.03852,0.844,4.56,32.62876672,4.7971,2455027.1019
36,KIC 11018648,2,1,0.02432,0.844,4.56,91.7732862,6.473,2455026.8378
37,KIC 11138155,1,1,0.103379,0.976,4.359,4.959319244,2.22739,2455005.2585292
38,KIC 11152159,1,0,0.06584,0.889,4.468,2.701287801,3.3827,2455003.69579
39,KIC 11153539,1,1,0.019817,1.048,4.486,4.49876511,3.7362,2455004.34905
40,KIC 11242721,1,0,0.106953,1.014,4.391,19.651209505,5.2514,2455012.401981
41,KIC 9579641,1,1,0.024775,0.941,4.339,5.412203927,2.9472,2454966.143089
42,KIC 11304958,1,1,0.048175,0.93,4.367,41.43958662,10.5989,2455041.93203
43,KIC 11391957,1,1,0.029305,0.862,4.582,8.35389523,2.2514,2455004.63257
44,KIC 11403044,1,1,0.036796,1.162,4.417,4.125543472,3.1744,2455002.752585
45,KIC 11414511,1,1,0.117059,0.941,4.452,2.816504904,2.50587,2455003.9676846
46,KIC 11442465,1,0,0.095386,0.782,4.628,33.93373447,14.561,2455019.67608
47,KIC 12110942,1,1,0.018878,1.01,4.518,3.689920099,2.6557,2455003.36571
48,KIC 12366084,1,1,0.02933,1.007,4.428,4.431238488,3.15,2455004.015
49,KIC 12366084,2,1,0.035628,1.007,4.428,11.37936986,2.6255,2454966.84992
50,KIC 12404086,1,1,0.03681,0.846,4.595,26.39432897,3.573,2455009.05459
51,KIC 8395660,1,1,0.023908,0.951,4.406,13.57078281,3.3539,2454969.279194
52,KIC 9579641,2,1,0.01512,0.941,4.339,7.12594387,3.0014,2454972.00492
53,KIC 11656840,1,0,0.143936,0.981,4.469,7.442652004,2.3078,2455002.9717797
54,KIC 11754553,1,1,0.029758,0.633,4.661,16.38489988,3.0249,2455005.72782
55,KIC 11754553,2,1,0.03209,0.633,4.661,7.8774163,2.0805,2455009.3759
56,KIC 11754553,3,1,0.029681,0.633,4.661,36.4454001,4.007,2454984.60125
57,KIC 11812062,1,1,0.068178,0.907,4.577,3.728732147,2.683,2455004.793255
58,KIC 11818800,1,2,0.088069,0.714,4.507,40.4195037,3.362,2455006.56469
59,KIC 11853255,1,1,0.032248,0.578,4.698,2.243380573,1.1196,2455003.679233
60,KIC 11909839,1,0,0.111248,0.77,4.393,10.405998015,6.5036,2455010.197466
61,KIC 11918099,1,1,0.027998,0.85,4.595,2.337437946,1.9982,2455004.761982
62,KIC 11918099,2,2,0.232818,0.85,4.595,7.2406612,0.558,2454970.75545
63,KIC 9579641,3,2,0.004612,0.941,4.339,3.43591631,3.133,2454965.6624
64,KIC 11923270,1,1,0.051287,0.503,4.79,11.59822233,2.5237,2455013.395376
65,KIC 11960862,1,1,0.049152,0.927,4.415,6.575315881,4.3084,2455006.634044
66,KIC 12020329,1,1,0.051358,0.986,4.556,7.275040844,7.5377,2455002.994217
67,KIC 12066335,1,1,0.031585,0.576,4.702,19.27153892,2.7594,2455019.77093
68,KIC 12066335,2,1,0.031153,0.576,4.702,10.06524317,1.369,2454969.28906
69,KIC 12070811,1,1,0.032536,0.832,4.603,12.3935651,3.8896,2455011.74725
70,KIC 8395660,2,1,0.025934,0.951,4.406,43.84439721,6.802,2454984.93538
71,KIC 3120431,1,0,0.243351,0.853,4.551,3.341913228,3.813,2455004.63943
72,KIC 3246984,1,0,0.305244,0.889,4.41,1.626630225,2.1145,2455002.820171
73,KIC 3342970,1,1,0.026533,1.169,4.442,2.711504086,3.0099,2455003.03417
74,KIC 3342970,2,1,0.028255,1.169,4.442,7.21203748,4.0491,2455005.81782
75,KIC 12459725,1,0,0.019561,0.975,4.539,14.1798187,2.505,2455004.50237
76,KIC 12470844,1,1,0.030119,0.884,4.587,8.47237911,2.7245,2455007.16212
77,KIC 12470844,2,1,0.027422,0.884,4.587,60.4189369,5.039,2455014.16367
78,KIC 12644822,1,1,0.073758,0.992,4.508,12.611904345,5.1497,2455013.892284
79,KIC 2440757,1,0,0.318591,1.083,4.22,1.433769925,1.8868,2455003.403536
80,KIC 2445129,1,0,0.247006,1.05,4.409,10.31872301,3.836,2455006.31543
81,KIC 2713049,1,1,0.017724,0.921,4.35,2.539183147,2.4282,2455002.67494
82,KIC 3114167,1,1,0.037414,0.767,4.656,6.770300385,2.0844,2455003.57662
83,KIC 3114661,1,0,0.396105,0.709,4.678,0.444291966,2.0792,2455002.865406
84,KIC 3115833,1,2,0.084708,0.885,4.541,10.181584004,3.5089,2455010.141891
85,KIC 4139816,2,1,0.036455,0.502,4.754,20.06036336,3.3203,2454980.46554
86,KIC 4139816,3,1,0.033974,0.502,4.754,46.1842039,4.758,2454998.23729
87,KIC 8395660,4,1,0.011879,0.951,4.406,23.9800854,5.351,2454980.537
88,KIC 4139816,4,1,0.022312,0.502,4.754,7.82502168,2.186,2454969.54995
89,KIC 4275191,1,1,0.08689,0.866,4.592,3.895936525,2.3111,2455003.527552
90,KIC 4476123,1,1,0.028938,0.821,4.615,22.36646466,5.228,2455008.45862
91,KIC 3351888,1,1,0.080543,0.935,4.322,1.625522174,2.38963,2455003.8266564
92,KIC 3453214,1,2,0.137595,0.928,4.492,19.620346923,2.0038,2455014.881819
93,KIC 3554600,1,0,0.194187,0.919,4.567,7.544039,6.222,2455004.7982
94,KIC 3641726,1,1,0.028718,0.824,4.526,9.02930689,3.1449,2455010.20422
95,KIC 3734868,1,0,0.118805,0.874,4.359,10.328035714,7.7915,2455007.581054
96,KIC 3832474,1,1,0.094044,0.986,4.556,143.2063047,8.9302,2454987.23552
97,KIC 8395660,3,1,0.007192,0.951,4.406,6.164876,3.262,2454968.63916
98,KIC 3832474,2,1,0.128744,0.986,4.556,60.32494216,6.6188,2455076.892578
99,KIC 3832474,3,1,0.02018,0.986,4.556,29.1598615,4.803,2454983.69922
100,KIC 3836375,1,0,0.257087,1.034,4.53,1.540397253,2.1541,2455003.50479
101,KIC 3838486,1,0,0.021279,0.737,4.578,2.99025443,5.414,2455004.9834
102,KIC 3935914,1,1,0.115879,0.901,4.491,1.594745374,1.9604,2455003.6483505
103,KIC 3940418,1,1,0.028315,0.891,4.574,4.783002698,2.335,2455003.508434
104,KIC 4049131,1,1,0.041039,0.739,4.544,20.50588921,4.0595,2455014.43428
105,KIC 4139816,1,1,0.037683,0.502,4.754,3.340218842,1.9104,2455004.979062
106,KIC 5287983,1,0,0.295115,1.03,4.506,2.507089906,2.0067,2455004.002455
107,KIC 5358241,1,1,0.027096,1.026,4.405,18.64932728,4.4056,2455007.771
108,KIC 10875245,2,1,0.011136,1.113,4.191,4.90144976,4.1654,2454971.60548
109,KIC 5358241,2,1,0.024042,1.026,4.405,9.75192101,4.793,2454971.78608
110,KIC 5358241,3,1,0.03498,1.026,4.405,38.5576546,5.794,2454996.85063
111,KIC 5358624,1,1,0.13372,0.855,4.572,3.525632539,2.59959,2455003.0479951
112,KIC 4544670,1,2,0.080046,0.84,4.482,34.84398644,2.9315,2455005.633252
113,KIC 4664847,1,1,0.046615,1.181,4.439,7.748094239,3.5957,2455007.997206
114,KIC 4725681,1,1,0.03141,0.536,4.728,23.96793669,3.827,2455019.22182
